-234.997,,-234.9883
-234.997,,-234.997
-234.997,,-234.905
-234.996,,0.0205198235346905
-234.905,,
-234.986,,
-234.993,,
-234.994,,
-234.997,,
-234.996,,
-234.997,,
-234.996,,
-234.996,,
-234.997,,
-234.984,,
-234.978,,
-234.997,,
-234.985,,
-234.996,,
-234.982,,
-1655.77,,-1892.425
-2114.24,,-2177.11
-2177.11,,-1614.27
-1843.89,,168.77507992966
-1801.23,,
-1757.22,,
-1985.27,,
-1720.57,,
-1904.13,,
-2015.93,,
-1660.52,,
-2062.11,,
-1697.45,,
-2058.32,,
-1920.47,,
-1951.51,,
-2063.36,,
-1846.17,,
-1998.96,,
-1614.27,,
-4290.41,,-5001.226
-5863.02,,-5924.5
-5924.5,,-4068.04
-5338.93,,543.415260710105
-4572.49,,
-5050.9,,
-5624.73,,
-4373.74,,
-5163,,
-4681.23,,
-5055.62,,
-4068.04,,
-4238.74,,
-5422.13,,
-5070.35,,
-5731.6,,
-4657.56,,
-5020.69,,
-4906.87,,
-4969.97,,
