8.41285,   0.05 2.04155 4.08303     120,,295.493,8.41285,160.8942595,77.3494871447889
8.41514,   0.05 2.04171 4.08343     120,,,,,
206.627,351.251 464.169 2.50639 60.5838,,,,,
231.109,295.018 453.498 2.67824 61.4185,,,,,
295.493,171.179 449.674 3.28924  60.845,,,,,
222.574,401.655 442.776 2.47467 64.3186,,,,,
155.535,0.184031   43.051  3.32025  117.145,,,,,
185.293,444.796 499.619 2.30718  62.131,,,,,
168.816,487.428 499.849 2.22437 60.0024,,,,,
202.258,347.863 486.021  2.4927 60.8426,,,,,
181.028,452.661 481.293 2.30089 60.4231,,,,,
178.034,424.561 495.458 2.31002 60.0372,,,,,
222.519,  281.4 481.333 2.66227 61.7538,,,,,
114.743,0.0780629   19.7002      4.45    76.093,,,,,
62.9684, 1.7306 7.15338 4.78835 105.988,,,,,
172.044,480.642  496.28 2.24035 60.3283,,,,,
33.2178,0.196859  6.83408  4.32442  106.782,,,,,
173.682,445.496 499.611 2.27376 60.0104,,,,,
184.497,497.477 456.166 2.30374 60.0103,,,,,
210.619,327.457 457.208 2.55565 60.1302,,,,,
