2996.35,    3.5     0.7      17 7.30027 7.80003 3.35022 5.28668,,3097,2996.35,3049.95571428571,29.1499951237438
2996.36,    3.5     0.7      17 7.30051 7.80005 3.35022 5.28668,,,,,
3076.56,3.51974 0.70139      17  7.5077 8.21875 3.41884 5.34427,,,,,
3097, 3.51174 0.701201  17.0065  7.56783  8.12602  3.62927  5.29043,,,,,
3032.63,  3.5263 0.700007  17.0346  7.46754  8.02951  3.40047  5.28724,,,,,
3082.12, 3.53321 0.701018  17.0725  7.44486  7.89944  3.40062  5.34707,,,,,
3027.47, 3.51951 0.700904       17  7.64838  7.97697  3.37892  5.29447,,,,,
3063.29, 3.56013 0.702005       17  7.83813   8.1178  3.41713  5.29425,,,,,
3034.54, 3.52872 0.700009       17  7.64093  8.07494  3.37193  5.30578,,,,,
3046.18, 3.52076 0.703108  17.0114  7.99607  8.05391  3.36156  5.30369,,,,,
3059.63, 3.57248 0.700426  17.0806  7.95006  8.01178  3.35541  5.29746,,,,,
3049.13, 3.50623 0.700698       17  7.65974  8.04852  3.48922  5.28885,,,,,
3092.66, 3.51852 0.700053       17  7.78235  8.17635  3.59436   5.3005,,,,,
3013.05, 3.50912 0.700202  17.0055  7.64034  8.06231  3.35903  5.28705,,,,,
3054.89, 3.54187 0.700186       17  7.56316  7.93354  3.48108  5.28858,,,,,
3038.82, 3.53914 0.700054   17.001  7.45764  8.21244  3.41086  5.28742,,,,,
3052.97, 3.50997 0.700842       17  7.79553   8.1048  3.46775  5.29687,,,,,
3022.39, 3.50608 0.700608  17.0041  7.44172  7.92973  3.40698   5.2888,,,,,
3052.73,  3.5232 0.704457  17.0826  7.43766  7.97477  3.35874   5.2947,,,,,
3076.34, 3.55761 0.700758       17  7.86627  8.12742  3.49962  5.28911,,,,,
3083.96, 3.59834 0.702588       17  7.37662  7.94262  3.35134  5.33788,,,,,
