1.7251,0.205653  3.47146  9.03839 0.205721,,1.80506,1.72486,1.73188619047619,0.0181281572356902
1.72597,0.204911  3.48821  9.03662  0.20573,,,,,
1.72588,0.205694   3.4724  9.03839 0.205798,,,,,
1.80506,0.228242  3.20345  8.57941 0.228242,,,,,
1.72831,0.203295  3.52379  9.03707 0.205729,,,,,
1.72487,0.205719  3.47072  9.03664  0.20573,,,,,
1.72537,0.205466  3.47683  9.03682 0.205734,,,,,
1.72531,0.205679    3.473  9.03588 0.205773,,,,,
1.72501,0.205772  3.46995   9.0357 0.205772,,,,,
1.73486,0.199421  3.61263  9.03801 0.205809,,,,,
1.72486,0.205727  3.47054  9.03662  0.20573,,,,,
1.75574, 0.20627   3.4882  9.02747 0.209575,,,,,
1.73344,0.19971 3.60493 9.03662 0.20573,,,,,
1.72501,0.205621  3.47284  9.03665  0.20573,,,,,
1.72639,0.204696  3.49299   9.0372 0.205731,,,,,
1.72571,0.205532  3.47839  9.03678 0.205738,,,,,
1.72499,0.205734  3.47064   9.0362 0.205754,,,,,
1.72495,0.205687  3.47153  9.03676  0.20573,,,,,
1.7286,0.204968  3.49984  9.03705 0.205846,,,,,
1.72913,0.204577  3.49924  9.05265 0.205652,,,,,
1.72505,0.205628  3.47285  9.03667 0.205733,,,,,
